NAMESPACE                                          NAME                                                     READY   STATUS             RESTARTS   AGE     IP               NODE           NOMINATED NODE   READINESS GATES
openshift-monitoring                               prometheus-k8s-1                                         6/6     Running            1          2d20h   172.30.126.4     10.242.0.4     <none>           <none>
openshift-monitoring                               prometheus-operator-7d86676f7c-j5jhr                     2/2     Running            0          2d20h   172.30.184.158   10.242.64.4    <none>           <none>
openshift-monitoring                               telemeter-client-74b54d8cdf-r2lfx                        3/3     Running            0          2d21h   172.30.42.197    10.242.128.6   <none>           <none>
openshift-monitoring                               thanos-querier-6d98f7ff6-876qh                           4/5     CrashLoopBackOff   601        2d20h   172.30.42.208    10.242.128.6   <none>           <none>
openshift-monitoring                               thanos-querier-6d98f7ff6-mfkc6                           4/5     Running            811        2d20h   172.30.126.3     10.242.0.4     <none>           <none>
openshift-multus                                   multus-48hzn                                             1/1     Running            0          2d22h   10.242.128.7     10.242.128.7   <none>           <none>
openshift-multus                                   multus-7p4ss                                             1/1     Running            0          2d22h   10.242.64.5      10.242.64.5    <none>           <none>
openshift-multus                                   multus-8pq8d                                             1/1     Running            0          2d22h   10.242.128.6     10.242.128.6   <none>           <none>
openshift-multus                                   multus-admission-controller-4ss62                        2/2     Running            0          2d21h   172.30.151.66    10.242.128.7   <none>           <none>
openshift-multus                                   multus-admission-controller-5wkqj                        2/2     Running            0          2d22h   172.30.42.199    10.242.128.6   <none>           <none>
openshift-multus                                   multus-admission-controller-crzcn                        2/2     Running            0          2d21h   172.30.81.2      10.242.64.5    <none>           <none>
openshift-multus                                   multus-admission-controller-hwv5x                        2/2     Running            0          2d21h   172.30.126.2     10.242.0.4     <none>           <none>
openshift-multus                                   multus-admission-controller-l4scr                        2/2     Running            0          2d21h   172.30.63.130    10.242.0.5     <none>           <none>
openshift-multus                                   multus-admission-controller-ns85t                        2/2     Running            0          2d22h   172.30.184.153   10.242.64.4    <none>           <none>
openshift-multus                                   multus-flxnm                                             1/1     Running            0          2d22h   10.242.0.4       10.242.0.4     <none>           <none>
openshift-multus                                   multus-gd672                                             1/1     Running            0          2d22h   10.242.0.5       10.242.0.5     <none>           <none>
openshift-multus                                   multus-tdjcp                                             1/1     Running            0          2d22h   10.242.64.4      10.242.64.4    <none>           <none>
openshift-multus                                   network-metrics-daemon-6xp5m                             2/2     Running            0          2d22h   172.30.81.1      10.242.64.5    <none>           <none>
openshift-multus                                   network-metrics-daemon-7267d                             2/2     Running            0          2d22h   172.30.184.148   10.242.64.4    <none>           <none>
openshift-multus                                   network-metrics-daemon-lcvmt                             2/2     Running            0          2d22h   172.30.42.198    10.242.128.6   <none>           <none>
openshift-multus                                   network-metrics-daemon-m64cn                             2/2     Running            0          2d22h   172.30.126.1     10.242.0.4     <none>           <none>
openshift-multus                                   network-metrics-daemon-wf688                             2/2     Running            0          2d22h   172.30.151.65    10.242.128.7   <none>           <none>
openshift-multus                                   network-metrics-daemon-xbdf4                             2/2     Running            0          2d22h   172.30.63.129    10.242.0.5     <none>           <none>
openshift-network-operator                         network-operator-74c96c5d6d-hzskr                        0/1     NodeAffinity       0          3d      <none>           10.242.0.5     <none>           <none>
openshift-network-operator                         network-operator-74c96c5d6d-mxkqz                        1/1     Running            0          2d23h   10.242.64.4      10.242.64.4    <none>           <none>
openshift-operator-lifecycle-manager               catalog-operator-67d7cf846-stntx                         0/1     Running            681        3d      172.30.184.147   10.242.64.4    <none>           <none>
openshift-operator-lifecycle-manager               olm-operator-74664bb6cd-s9zhv                            1/1     Running            541        3d      172.30.184.150   10.242.64.4    <none>           <none>
openshift-operator-lifecycle-manager               packageserver-5dff86d9d-2zhzs                            0/1     Running            617        2d20h   172.30.42.205    10.242.128.6   <none>           <none>
openshift-operator-lifecycle-manager               packageserver-5dff86d9d-wp59h                            0/1     CrashLoopBackOff   692        2d20h   172.30.184.155   10.242.64.4    <none>           <none>
openshift-roks-metrics                             metrics-7465fddbc6-mcdbs                                 1/1     Running            9          2d21h   172.30.42.193    10.242.128.6   <none>           <none>
openshift-roks-metrics                             push-gateway-847bf7c9bd-h4c2f                            1/1     Running            0          2d21h   172.30.42.194    10.242.128.6   <none>           <none>
openshift-service-ca-operator                      service-ca-operator-5f94d48b54-fmft4                     1/1     Running            3          3d      172.30.184.141   10.242.64.4    <none>           <none>
openshift-service-ca                               service-ca-f464dfdf5-2wcww                               1/1     Running            1          2d21h   172.30.184.142   10.242.64.4    <none>           <none>
tigera-operator                                    tigera-operator-585bffdd45-k6c24                         1/1     Running            28         2d23h   10.242.0.5       10.242.0.5     <none>           <none>
